v1,v2
spam,"CELINE SAGE P., LARO na sa JACKPOTCITY ONLINE GAMING NA WALANG MAINTENANCE! Manalo ng
higit pa sa 80,000 kada araw at makuha ang 2,000 sign-up bonus! Sali na at maglaro sa jackpotcitywinluck.com"
ham,"1/2 26-Mar 13:28: P50 loaded to 09289222475 for 1 year.
 Ref:9CQ3S39TVX. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp"
ham,kitchen tissue paper brown 2 refill
ham,Your data promo will expire on 2021- 04-22 01:50:08. Convert your excess data to Globe Rewards points now! Go to the GlobeOne app https://glbe.co/globe-one and turn your data to rewards.
ham,"It's a 1 point SALE! Get a P10 GCash Pay QR voucher for only 1 Rewards point TODAY, June 10, 2022, starting 9AM. Just use your 2 point/s as of June 7, 2022 at glbe.co/NewGlobeONE to redeem your treat. Per DTI Fair Trader Permit FTEB-144532 Series of 2022."
ham,Use 423177 for two-factor authentication on Facebook.
ham,I-maximize ang negosyo mo! Get instant cash with fair interest rates via GLoan. Tap Borrow > GLoan on the GCash app to learn more.
ham,"bukas pa po exam ko, may pagkain po ba kayo na dala"
spam,"CELINE SAGE P., JACKPOT CITY has
the best gaming experience and stable servers for you! Play with us and enjoy your Daily Rebate up to 6%! Register now jackpotcityluckly.com"
ham,"Huwag magpaloko sa mga fake emails saying na on hold ang account mo! I- check mabuti kung legit ang sender before doing any action. Tandaan, GCash does NOT put accounts on hold. No advisories? Tap go.gcash.com/optout."
ham,"Invest more in your preferred GInvest funds in just 1 minute! To buy units, just tap GInvest on the GCash App > View Investment Products > Select Fund > Buy . Learn more at go.gcash.com/invest. No advisories?
 Tap go.gcash.com/optout"
ham,1/2 kilo liver chicken
ham,"1/2 PUBLIC SERVICE ADVISORY:
 #StayVigilant! Do not click on links sent by unknown numbers containing your name."
ham,Ok
ham,Keep in touch with your loved ones with 100MB data with access to ALL sites and UNLIMITED calls! Promo valid for 1 day for only 4 Rewards points. It's the best time to be with Globe with exciting Rewards available via the New GlobeOne app at glbe.co/NewGlobeONE
ham,17Aug08:59 PM Regular Load: P16.00 Exp: 14Jul2023 02:29AM Magic Data (No Expiry) MB: 1326.73 GigaPoints: 10.00
ham,"No load in an emergency? We got you! Borrowing up to P15 load is now more affordable with just P2 service fee for a limited time only. Just text LOAN P2LOAD15 to 3733 or dial *143# and choose LOANS. Your P17 (P15 and P2 service fee) loan will be collected on your next load top-up, hassle-free."
ham,"Never run out of data. Always check your load balance and subscriptions with just a tap on the GigaLife App! Tap ""Check Usage"" on smrt.ph/GigaLifeApp NOW!"
spam,"ZOREN NATHANIEL Y., Hurry!
Sign-up now here unibetwins1.com and get your FREE P3000 on your first deposit! Log-in everyday, Complete daily task for 1000 FREE daily!"
ham,906 431 is your Instagram code. Don't share it. #ig
ham,"Hmm.. we haven't heard from you in a while. Get FREE 1GB, valid for 1 day when you register to any promo worth at least P50, like Go50. Text GO50 or your chosen promo keyword to 8080 until 07/29/2022. REF#: FGGRW70"
ham,PayPal: Your security code is: 031265. It expires in 10 minutes. Don't share this code with anyone.
ham,Pandemic kasi
ham,"You have been successfully loaded Go50 for Students P50.00. Trace No. 1053513667 09/04/2022 13:21:01.145.
 More Globe/TM txt promos? INFO to 8080 4 free"
ham,"Hi! AIA Philam Life is now AIA PHILIPPINES. We can't wait to connect you to a world of possibilities with fresh product and service innovations for your every need. To know more, reach out to your Financial Advisor or visit us at https://aia.com.ph. Thanks!"
ham,Your Shareable Data will expire in 60 minutes.
ham,Owkayyyy asa taas kamiii 0.0
ham,"You have sent P300.00 of GCash on 2021-Jun-26 10:18:55 AM to BDO
 Unibank, Inc. account ending in 2685. Convenience fee for this transaction is P15.00. Your new balance is P1447.44 with GCash Ref. No. 5001599336003 & InstaPay Trace No. 307408. Thank you for using GCash!"
ham,"keyword. Please make sure your keyword is correct with no extra characters and spaces. For more info on promos, dial *143#, FREE from your Globe/TM mobile phone."
ham,"Always keep the good vibes going! You don't have to worry about being disconnected for having no load balance. You can borrow an extra P45 load anytime by texting LOAN LOAD45 to 3733. On your next reload, just add P54 (P45 and P9 service fee) to pay for this loan."
ham,"2/2 Example: PASADATA 01234567890
 300MB , then send to 808."
ham,"NEVER SHARE THIS TO ANYONE.
 Your OTP is 247946 for Fund Transfer amounting to PHP300.00. Ref No: 2A8F"
ham,"Hello! 6 hours na lang for LE1! Make sure na nakasubmit kayo at di niyo naiwang naka-open lang. Starting tomorrow, through Discord na ako magchecheck or magpapaconsult ah. Di na sa email or in game ah. Hehe. O:)"
ham,Ma'am nandito Nako sa may malaking bato
ham,D2 km ace
ham,"Nauubusan ka ba ng pera? Mag-open na ng GCredit account powered by CIMB Bank para may additional access ka sa cash! Register now until May 31, 2022 and get up to 30% interest rebates for your next three billing cycles. Tap gcash.com/promos/gcreditxcimbxacqui sition to learn more. No advisories? Tap go.gcash.com/optout"
ham,"15Feb 10:25: GIGA VIDEO 99
 successfully loaded to 639280536997 from 639392880245.
 Ref:EV8BF34XDR83"
ham,Nandun sa plantsin yung ratan
ham,"Even while at home, you can borrow P20 load anytime! Just text LOAN LOAD20 to 3733. On your next reload, add P24 (P20 and P4 service fee) to pay for this loan. #ExtraCareAtHome"
spam,Best Online Games in the Philippines(Slot/Live Baccarat/Fishing/Sports/eSports...)! Join now and get p5000 free p5000 for you! http://superjackpot.beauty/FF9
ham,"You have withdrawn 400.0 from your CIMB Bank GSave Account on 04-01- 2021 21:55:28. Ref. No
 5001101872599"
ham,Owcakessss 0.0
ham,ok anak. mag taxi ka na lng papunta dito. iwan ko lng nakabukas yung pinto.
ham,"You have earned 1.8 point/s. Your total rewards point/s as of today is 25.98.
 Points earned in 2022 are only valid for redemption until 03/31/2023. Download the GlobeOne app at glbe.co/GLBOne or dial *143# to know the list of exciting rewards you can redeem using your points."
ham,"BINGE-WATCH on NETFLIX and
 YouTube with GIGA BINGE! Get 3 GB of BINGE ALL DAY EVERY DAY + data for P75! Tap MORE GIGA > BINGE
 ALL DAY on smrt.ph/GigaLifeApp"
ham,"750620 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW"
ham,"Dyan nlang kay uncle Sam nyo ibaba gamit ko mamya, sasakay ako taxi, text kita kung malapit na ako. Punta muna ako Kias."
ham,"NDRRMC: (5:10AM,28Oct22) Matataas
 na alon sa baybaying dagat ng Ilocos Norte, Ilocos Sur, La Union at Pangasinan. Bangkang maliliit huwag pumalaot."
ham,Hellouuuuu nasa assumption ba kayo ngayon? Punta ba ako dyan bago kayo umuwi? :0
ham,tapsilog daw po gusto ni tatay
ham,"You have received P1000.00 of GCash from LANDBANK / OFBank with account ending in 7675. Your new balance is P1223.73 06-28-22 08:03 PM. Ref. No. 3004976694229. Use
 now to buy load, purchase items, send money, pay bills and a lot more!"
ham,"NDRRMC: (11:30AM, 29Oct22) Signal
 #3 sa Bataan at southern portion ng Zambales . Malakas na hangin ang inaasahan sa loob ng 18 oras. Lahat ay pinag-iingat."
ham,"Enjoy the latest GoEXTRA50 only on GCash! Get up to 7GB data (5GB + 1GB GoWiFi + FREE 1GB for Facebook, Instagram, TikTok and more) PLUS Unli AllNet texts, all valid for 3 days. Tap the pop-up or action card inside the GCash App to avail. No advisories? Visit go.gcash.com/optout."
spam,"https://amazon.com/a/c/r/NzQSfg7jmX4 EDyMR2y6sVzetH Amazon: Sign-in attempt from IL, US. Tap link to respond."
ham,You have received PHP 160.00 of GCash from JOHN RAMIL REYES 09159287761 w/ MSG: emman and ate mika priz. Your new balance is PHP 239.74. Ref. No. 7002046493031.
spam,"Best Online Casino in the Philippines With 24/7 Immediate Cash In/Out http://supergaming.beauty/QgS 500
 GET 500, 5,000 GET 5,000, 10K GET 10K"
ham,"It's not too late to claim your FREEBIE of 350MB for surfing valid for 3 days. Simply load a total of P50 by 08/09/2022. #BestTimeWithGlobe Share-A-Load not included. If you've already claimed your freebie, please disregard this message. REF#: DGR65"
ham,"04May 08:16: GIGA VIDEO 50 loaded
 to 639280536997.
 Ref:EV9E41X2PJVL. Use the GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp"
ham,Punta ka na sa labas dawww
ham,Den Yung cerelac ay without milk dapat na flavor.
ham,"You have been successfully loaded GO50 P50.00. Trace No: 1901683422
 07/30/2022 01:03PM. More Globe/TM txt promos? INFO to 8080 4 free"
ham,"05Jul 17:51 GIGA VIDEO 99 loaded to 639280536997 from 639477082229.
 Ref:EV8G58Q28XH2. !!Use
 smrt.ph/GigaLifeApp to get DOUBLE GIGA: VIDEO OR STORIES!!"
ham,Matagal na ako d nagsasave ng number jusko HAHAHA
ham,"Smartees, get FREE GIGA promos on the GigaLife App using GigaPoints!
 Earn up to 10% GigaPoints when you load or up to 5% GigaPoints when you subscribe to GIGA promos on GigaLife smrt.ph/GigaLifeApp Watch how to earn more GigaPoints: bit.ly/glgigpoints"
ham,Baka mga 10pm na kami makauwi
ham,"Never run out of data. Always check your load balance and subscriptions with just a tap on the GigaLife App! Tap ""Check Usage"" on smrt.ph/GigaLifeApp NOW!"
ham,Claim FREEBIES and get EXCLUSIVE access to the best promos with your Smart Bro device and Prepaid Home WiFi router! Download the GigaLife App on your smartphone and sign up for an account now. GigaLife is always FREE to use! smrt.ph/GigaLifeApp
ham,"Even if you're not together, you can still celebrate Father's Day weekend without load! To help you greet all the fathers and father figures in your life, you can borrow P35 load by texting LOAN LOAD35 to 3733. On your next reload, just add P42 (P35 and P7 service fee) to pay for this loan.
"
ham,"You're now registered to Go90 for Students! Enjoy 8GB, plus free 1GB for GoLEARN&WORK apps, and unli all- net texts valid till 2022-10-21, 12:44:24."
ham,PayPal: Your security code is: 453107. It expires in 10 minutes. Don't share this code with anyone.
ham,"Awesome! You can now enjoy 1 GB VIDEO EVERY DAY for YouTube, NBA
 TV & MORE + 2 GB for 7 days with GIGA VIDEO 99."
ham,Hi! We're happy to inform you that our system activity has been completed. You may now register to your favorite promos again. Take care!
ham,"We've deducted P6 (MBSOS + P1 service fee) from your current load balance for the load/promo you borrowed last 2021-02-26 04:49:06. To check your remaining load balance, just dial *143#. Thank you!"
ham,"302147 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW"
ham,Ma'am nandito Nako sa may malaking bato
ham,"NDRRMC: Sa Nov. 11, 8AM, makiisa sa Online Earthquake Drill at mag- DUCK,COVER, and HOLD. Sundan ang Civil Defense PH Fb page para sa detalye."
ham,Daddy nasa rnb lang po ako if ever. Or magjeep na lang ako pauwi mamaya?
ham,"Ease your worries with an insurance coverage of up to P1,000 from Pacific Cross for emergency treatments due to accident, including in-patient COVID-19 for as low as 20 Rewards points.
 Redeem GOHEALTH20 via glbe.co/GRewardsApp . Per DTI Fair Trade Permit No. FTEB-109166, series of 2020."
ham,Baka 6pm?
spam,"Want a chance to win P10,000? Send at least P1 to a friend and earn either P1 or P10,000 cashback! Send money to up to 10 different users to get a chance to receive the reward up to 10 times."
spam,"MARINA SOPHIA F., Be one of the luckiest winner of JACKPOTCITY Motorcycle & more prizes at PANAGBENGA Festival events + get 20php when you register ! Hurry up and click now jackpotcityrich.com"
ham,Enjoy super speed browsing with #SmartWifi! Your verification code is 85004
ham,Salamatzzzz ehehehehehe xD
ham,Yepsss need na pdf file daw 0.0
ham,"GSave in the GCash app is temporarily unavailable. Rest assured that your money is safe with us while we work with our partner, CIMB, to get the service back up and running. We will update you with the latest information. Thank you."
ham,Here's something that will make your day better! Get P14.3 off when you register to Go+149 today from 1 PM - 4 PM via the GlobeOne app. We have more GoSURPRISES in store for you so download the app now at https://glbe.co/globe-one and stay tuned! Per DTI Trade Permit No. FTEB 118979 Series of 2021. No advisories? Text OFF to 2686 for free.
ham,Mamaya pagbalik
ham,Get FREE ADD'L 10 GigaPoints with any GIGA promo subscription worth at least P99 on the GigaLife App before offer expires TODAY!
ham,"Hi! CIMB Bank is committed to serving you better. Please be advised that there is a delay in crediting additional savings interest and/or life insurance coverage this month due to technical issues. Rest assured that your funds, interest earned, and insurance coverage remain safe and secure with us. We are working on resolving this matter to provide eligible customers their earnings and/or insurance coverage as soon as possible. We apologize for any inconvenience this has caused. Thank you."
ham,"You have paid P50.00 of GCash to purchase Giga Video 50 for 09280536997 on 03-24-22 05:49 PM.
 Your GCash balance is P414.72. Ref. No. 353157420."
ham,"You have earned 1.8 Globe Rewards point/s. Your points balance as of today is 48.1. Points earned in 2020 are only valid for redemption until 03/31/2021.
 Download the Globe Rewards app via http://glbe.co/GRewardsApp to know the list of items you can redeem and partner stores where you can use your points as cash."
ham,Asa sm ka ba? 0.0
ham,G manalo ng PHP 100K and more? Mag-load lang ng PHP 100 para makakuha ng 2 Lucky Load tickets for more chances of winning. Go to your GCash dashboard and tap Load to start today!
ham,"POV: Traffic going home? Mag 1 game ka muna! Enjoy 1hr UNLI data access to Mobile Legends or Genshin Impact for only 5 rewards points. Just dial
 *143# to redeem or via glbe.co/GLBOne. You have 16 point/s as of Oct. 24, 2022."
ham,"You have received P200.00 of GCash from LANDBANK / OFBank with account ending in 7675. Your new balance is P560.73 06-02-22 08:07 PM.
 Ref. No. 3004697551134. Use now to buy load, purchase items, send money, pay bills and a lot more!"
ham,"It's not too late to claim your FREEBIE of 350MB for surfing valid for 3 days. Simply load a total of P50 by 01/09/2023. #BestTimeWithGlobe Share-A-Load not included. If you've already claimed your freebie, please disregard this message. REF#: DGR65"
ham,"You've used up your mobile internet from your promo. Go for more with Go+99 and enjoy 8GB data for all sites PLUS a freebie of your choice: 8GB choice of apps, GoSAVE, or GoHEALTH. Go+99 also comes with unli allnet texts, valid for 7 days.
 Access the New GlobeOne app at https://glbe.co/NewGlobeONE to register."
ham,"Last few days to redeem your gift of 3GB for surfing, valid for 3 days. Just text TREAT to 8080 until Sep. 30, 2021 to claim. #GDayEveryday"
ham,"The thirst for power becomes stronger in the den of dragons. Based on George R.R. Martin's ""Fire & Blood,"" House of the Dragon is set 200 years before the events of Game of Thrones and tells the story of House Targaryen. Stream the newest episode this August 29 on HBO GO, best enjoyed with Go+99 and GoWATCH. Register to HBO GO via GCash (http://glbe.co/GCash-HBOGO) for only P199/month. No advisories? Text OFF to 2686 for free."
ham,"You have 50 MB left in your MAGIC DATA.!!Want DOUBLE GIGA? Use
 *123# or smrt.ph/GigaLifeApp!"
ham,"You have paid P120.00 of GCash to purchase 100 Steam Wallet Codes for 09568301222 on 05-28-22 10:18 AM.
 Your GCash balance is P798.73. Ref. No. 307272480."
ham,"Pogi, pwde paki-remind mommy mo ng 5pm Zoom meeting namin? Thanks pogi."
ham,Oh my will check with him
ham,"Celebrate Chinese New Year responsibly! Be insured from COVID-19 & Dengue for up to P421,500 total coverage. First 10,000 customers to avail get FREE COVID-19 coverage.
 Visit go.gcash.com/GInsureCovid to learn more! No advisories? Tap go.gcash.com/optout."
ham,"Want to earn bonus Rewards points? You can with GoCREATE! Create the promo that's right for you by choosing your preferred validity, all-access, content, 5G, and shareable GBs. Share your very own GoCREATE promo to fam & friends using your social media account, and get as much as 40 points a month when they register to it. Plus, they get 10 points too! What are you waiting for? Go to the GlobeOne app at https://globeone.onelink.me/ej7I/G1SM S and tap the GoCREATE banner to start customizing your promo. No advisories? Text OFF to 2686 for free."
spam,DERRYL NESSIE G.! Hurry Up! W+ has giveaways for you! Just Register and Play you can have 14PROMAX and 7777 Bonus today! w8bonu.com/HALLOWEEN7777 LhjI427-
ham,"J&T DELIVERY!TN: 940331803688
 Rider:Elvis Dulay Marcelo639294901060. For COD pls prepare exact amount. Photo proof of delivery is required. Thanks and be safe!"
spam,Libreng 600P pag sumali dito sa http://i4aj12.com
ham,Sa labas ng porta
ham,Halaaa... Sorry T^T
ham,Ahy nae 0.0 Figaro sana 0.0
ham,Your One-Time PIN (OTP) for LANDBANK Mobile Banking is 283699.
ham,"This will be music to your ears! AirPods, Galaxy Buds+, and promos at 50% off await on the GigaLife App!
 Redeem them only on smrt.ph/GigaLifeApp"
ham,1 parcel(s) from Ninja Van is on delivery to you. Please prepare cash amount of ₱ 0.00.
ham,"You're now registered to Go90 for Students! Enjoy 8GB, plus free 1GB for GoLEARN&WORK apps, and unli all- net texts valid till 2021-04-15, 00:36:26."
ham,P50.00 prepaid credits was loaded to ur mobile# 09568301222. Trace No: 1833624318 11/02/2021 12:48PM.
ham,1 parcel(s) from Ninja Van is on delivery to you. Please prepare cash amount of â‚± 101.58.
ham,"401643 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW"
ham,"Self-care is a GO with Go+99, now with GoHEALTH! That's 8GB for all sites, unli allnet texts for 7 days, PLUS a GoHEALTH freebie of either 1 mental health consultation from KonsultaMD or a discount on medicine delivery from HealthNow. To register, access the New GlobeOne app at https://glbe.co/NewGlobeONE, or text GOPLUS99 to 8080. Per DTI Fair
 Trade Permit No. FTEB-137363, series of 2022. No advisories? Text OFF to 2686 for free."
ham,"There's still time to get your FREE unli texts to all networks and unli calls to GP/TM, valid for 1 day when you load at least P65 before 12/22/2022. Share- A-Load not included. If you've already claimed your freebie, please disregard this message. REF#: FGTU2"
ham,Kaya nga d ako nagrereply para d mo na paulet ulet kunin yun phone ng iba eh .-.
ham,Hapon ka na
ham,Your payment of P224.97 to Steam has been successfully processed on 12-24- 22 04:25:33 PM. Ref. No. 586976598
ham,"You have received P250.00 of GCash from LANDBANK / OFBank with account ending in 7675. Your new balance is P428.38 05-01-22 02:04 AM.
 Ref. No. 5004362919708. Use now to buy load, purchase items, send money, pay bills and a lot more!"
ham,"You have been successfully loaded GO50 P50.00. Trace No: 493075757
 05/02/2022 09:03PM. More Globe/TM txt promos? INFO to 8080 4 free"
spam,"Hi,Sumali Ngayon, Direktang makakuha ng 777p, Dobleng Deposit Bonus, tangkilikin ang Super S1OT: Web: bonus888x.live GO."
spam,"Your employment CV sent to the POEA has been approved, Click for Details: https://bit.ly/3x6ss92. and you can get 4368/day."
spam,"ZOREN NATHANIEL Y.! Get your early Christmas Bonus! for PHP 5,000! And win an Iphone 14promax! Only here on W+! Play and Register now! wplus8fifa.com/7777WIN"
ham,"Hi! As of 07/30/22 22:30, you still have 13.02MB left on your mobile data promo. Go for more with Go+99 and enjoy 8GB data for all sites PLUS a freebie of your choice: 8GB choice of apps, GoSAVE, or GoHEALTH. Go+99 also comes with unli allnet texts, valid for 7 days. Access the New GlobeOne app at https://glbe.co/NewGlobeONE to register."
ham,"[CALL FOR NOMINATIONS] Good
 evening, CREST! We hope that this post finds you well. The Electoral Board is officially declaring the start of the elections for the new Executive Core, by opening the form for potential nominees for all positions. Nominations are to be made using Google Forms, and is open to all active members of UP CREST. Eligibility requirements for prospect nominees are stated in the UP CREST 2021 Consitution Article XIV Section 3. The nomination form is accessible using the following link: https://s.up- crest.org/Elex2021Nominate The Electoral Board acknowledges the fact that some of the members may have difficulty accessing the form, and for this reason, nominations could be cast through Facebook message, or texts directed to Althea Laza [0936 953
 9520] or Meg Latigay [0917 871 6235]. Messages should follow the following format: -Name of Nominator -Nominee - Position -Reason for the nomination We hope that everyone would exercise their rights to nominate and participate in the organization elections.
 Nominations tentatively end on July 28, Wednesday. For members who cannot access the post regarding nominations, please reply to this number to request for the list of eligible nominees . Thank you!"
spam,"Panahon na ng Pagbabago
Please Vote!
#14 MARIO DELOS REYES for Councilor 
A Teacher for Us
Serbisyong Maestro,Serbisyong TOTOO!
Maraming salamat po"
ham,"904797 is your authentication code. For your protection, do not share this code with anyone. yyAfcYn/qSW"
ham,Pero are you gonna go there? 0.0
ham,"Smartees, get FREE GIGA promos on the GigaLife App using GigaPoints!
 Earn up to 10% GigaPoints when you load or up to 5% GigaPoints when you subscribe to GIGA promos on GigaLife smrt.ph/GigaLifeApp Watch how to earn more GigaPoints: bit.ly/glgigpoints"
ham,"be a system activity on March 28, 2021 from 12:00 MN to 7:00 AM. During the activity, promo registration, promo rewards redemption, and loan promos will be temporarily unavailable. To avoid inconvenience, we suggest that you register to your favorite promos before the system activity starts. Thank you for your understanding."
ham,You earned 1% CashBack on your GIGA purchase as GigaPoints! 1 GigaPoint = 1 Peso. Use the GigaLife App to earn MORE to redeem MORE! smrt.ph/GigaLifeApp
ham,Discover MORE promos on the GigaLife App and get MORE points to redeem FREE promos! smrt.ph/GigaLifeApp
ham,Get 9GB data for only P90 valid for 7 days with GoEXTRA90! Download the GCash app at https://go.GCash.com/app to register this exclusive promo. No advisories? Text STOP to 2682 for free.
ham,You know ba where? 0.0
ham,G-639921 is your Google verification code.
ham,You have paid P299.00 of GCash to Common Room UPTC on 12-10-22 03:30:15 PM. Ref. No. 474345067.
spam,"Surprise: You have a mysterious bonus, please log in to to get it, LINK: tinyurl.com/tdgsf8"
ham,"Your Shareable Data will expire in 60 minutes.!!Want DOUBLE GIGA? Use
 *123# or smrt.ph/GigaLifeApp!"
ham,"Let GoHealth Max take care of your unforeseen medical expenses. With GoHealth Max 35, you can enjoy coverage of up to P20,000 from Pacific Cross for accidents and illnesses such as cancer, pneumonia, tuberculosis and more. You'll also get free 24/7 telehealth consultation from KonsultaMD, valid for 3 months. To register, text GHM 35 to 8080, or access the GlobeOne app at https://glbe.co/globe-one and select Offers > GoHealth Max. Also available in GHM 75 and GHM 105. No advisories? Text OFF to 2686 for free."
ham,Kakatapos lang ><
ham,Thankyou so much po
ham,Get the BEST and EXCLUSIVE promos in the GigaLife App! Make sure you have the latest version for a faster and more secure experience! smrt.ph/GigaLifeApp
ham,"NDRRMC: (5:00AM, 24Aug22)
 Matataas na alon sa baybaying dagat ng Zambales, Bataan, Aurora, Batanes, Cagayan, at Isabela. Bangkang maliliit huwag pumalaot."
ham,"Awesome! You can now enjoy 1 GB VIDEO EVERY DAY for YouTube, NBA
 TV & MORE + 1 GB + Unli Allnet Texts for 3 days with GIGA VIDEO 50."
ham,Don't miss out on your FREE 5 GB for 2 days! Mag-load na ng P100 or more to get your FREEBIE!
